State;Up;Down;Left;Right;Stay
0|1|1|0000|0|-1;14.08836;12.11955;24.34522;13.57639;-138.3372
-1|0|1|0001|0|-1;-343.2781;-105.0134;-272.1298;-506.091;-426.1338
-1|0|0|0001|0|-1;-883.7515;-883.0525;-5773.206;-4743.559;-2544.438
-1|1|0|0001|0|-1;-2577.165;-884.5659;-4578.412;-885.0916;-898.5226
0|0|0|0001|0|-1;0;0;0;0;0
1|1|1|0010|0|-1;-486.4026;-72.4402;-433.3461;-339.6913;-418.6657
1|1|0|1000|0|-1;-498.1272;-494.7441;-496.4758;-498.6092;-501.4388
-1|0|1|1000|0|-1;-509.6194;58.46088;-805.4116;3.408927;-413.674
-1|1|0|0000|0|-1;-1757.884;-871.1787;-4995.826;-871.1732;-942.7256
1|1|2|0011|0|1;2.955348;124.5041;-85.36696;-176.0004;-114.2382
1|0|2|0100|0|1;168.4296;-101.2592;141.4935;107.4529;-82.94109
0|-1|0|0001|0|-1;-880.8174;-4923.597;-880.8113;-3198.033;-1716.216
0|-1|1|1000|0|-1;-897.1174;-818.1602;-246.6255;-349.3666;-545.5013
-1|-1|2|0010|0|1;142.6682;142.0342;-112.8312;173.0656;-51.14133
0|-1|0|1000|0|-1;-2093.252;-4876.762;-885.377;-886.8441;-4546.47
0|1|1|0010|0|-1;8.316467;25.81007;-126.8563;93.24841;-103.7878
0|1|0|0010|0|-1;-5088.474;-885.5748;-4297.192;-885.3798;-4708.229
0|0|0|0010|0|-1;-1000;0;0;0;0
1|-1|2|1001|0|-1;-95.54527;88.57273;72.26607;-110.6236;-109.2943
1|-1|1|0001|0|-1;-43.31244;-297.4017;-116.3316;-132.2182;-213.8106
0|-1|1|1001|0|-1;-680.0216;-455.9413;-210.4767;-465.006;-371.6649
1|-1|2|0000|1|0;138.525;100.754;157.1079;117.2371;-88.86752
1|-1|2|0100|0|1;164.7078;-59.68759;158.8496;124.065;-51.16207
1|0|1|0100|0|1;99.32229;-316.7409;57.03036;-650.623;-117.1205
1|-1|0|0000|1|0;-860.7933;-4801.901;-867.3812;-3920.174;-911.5735
0|-1|0|0000|1|0;-874.7521;-6843.78;-876.4091;-876.4169;-4400.06
-1|0|1|1000|1|0;-228.6001;15.83016;-368.6919;43.41208;-320.7307
-1|0|0|1000|1|0;-2364.425;-854.7155;-4339.771;-854.7126;-1938.134
-1|1|0|0000|-1|0;-871.4514;-539.7204;-1204.046;-539.0125;-539.9082
-1|1|0|0001|-1|0;-3232.301;-485.6526;-2049.737;-486.2311;-494.6342
0|1|2|0100|0|1;96.0914;-162.2113;149.0148;86.65155;-202.8984
1|-1|2|0010|0|1;142.3903;86.36314;-75.73352;127.122;-71.62764
-1|1|1|0001|0|1;-456.4324;-71.22594;-330.1549;-718.7307;-759.4846
